SCATS_A,SCATS_B
970,3685
2000,3682
2000,3685
2000,4043
2200,4063
2820,3662
2825,2827
2825,4030
2827,4051
2846,4043
3001,3002
3001,3662
3001,4821
3002,3662
3002,4035
3002,4263
3120,3122
3120,4035
3120,4040
3122,3127
3126,3127
3126,3682
3127,4063
3180,4051
3180,4057
3662,4335
3682,3685
3682,3804
3682,4272
3804,3812
3804,4040
3804,4272
3812,4040
4030,4032
4030,4051
4030,4321
4032,4034
4032,4057
4032,4321
4034,4035
4034,4063
4034,4324
4040,4272
4043,4273
4057,4063
4262,4263
4262,4812
4263,4264
4264,4266
4264,4270
4264,4324
4270,4272
4272,4273
4321,4335
