SCATS_A,SCATS_B,road_name
970,2000,WARRIGAL_RD
970,3126,WARRIGAL_RD
970,3682,WARRIGAL_RD
970,3685,WARRIGAL_RD
2000,4043,TOORAK_RD
2000,4273,TOORAK_RD
2000,3126,WARRIGAL_RD
2000,3682,WARRIGAL_RD
2000,3685,WARRIGAL_RD
2820,3662,PRINCESS_ST
2825,3120,BURKE_RD
2825,4032,BURKE_RD
2825,4034,BURKE_RD
2825,4035,BURKE_RD
2825,4040,BURKE_RD
2825,4043,BURKE_RD
3001,3002,BARKERS_RD
3001,4035,BARKERS_RD
3001,3662,HIGH_ST
3001,4030,HIGH_ST
3001,4321,HIGH_ST
3002,4035,BARKERS_RD
3002,4263,POWER_ST
3120,4030,BURKE_RD
3120,4032,BURKE_RD
3120,4034,BURKE_RD
3120,4035,BURKE_RD
3120,4040,BURKE_RD
3120,4043,BURKE_RD
3120,3122,CANTERBURY_RD
3120,3126,CANTERBURY_RD
3120,3127,CANTERBURY_RD
3122,3126,CANTERBURY_RD
3122,3127,CANTERBURY_RD
3126,3127,CANTERBURY_RD
3126,3682,WARRIGAL_RD
3126,3685,WARRIGAL_RD
3127,3180,BALWYN_RD
3127,4057,BALWYN_RD
3127,4063,BALWYN_RD
3180,4057,BALWYN_RD
3180,4063,BALWYN_RD
3180,4051,DONCASTER_RD
3662,4030,HIGH_ST
3662,4321,HIGH_ST
3662,4335,HIGH_ST
3682,3804,RIVERSDALE_RD
3682,4040,RIVERSDALE_RD
3682,4270,RIVERSDALE_RD
3682,4272,RIVERSDALE_RD
3682,3685,WARRIGAL_RD
3804,4040,RIVERSDALE_RD
3804,4270,RIVERSDALE_RD
3804,4272,RIVERSDALE_RD
3812,4040,CAMBERWELL_RD
4030,4032,BURKE_RD
4030,4034,BURKE_RD
4030,4035,BURKE_RD
4030,4040,BURKE_RD
4030,4043,BURKE_RD
4030,4321,HIGH_ST
4030,4335,HIGH_ST
4032,4057,BELMORE_RD
4032,4034,BURKE_RD
4032,4035,BURKE_RD
4032,4040,BURKE_RD
4032,4043,BURKE_RD
4032,4321,HARP_RD
4034,4035,BURKE_RD
4034,4040,BURKE_RD
4034,4043,BURKE_RD
4034,4324,COTHAM_RD
4034,4063,WHITEHORSE_RD
4035,4040,BURKE_RD
4035,4043,BURKE_RD
4040,4043,BURKE_RD
4040,4270,RIVERSDALE_RD
4040,4272,RIVERSDALE_RD
4043,4273,TOORAK_RD
4057,4063,BALWYN_RD
4263,4264,BURWOOD_RD
4263,4266,BURWOOD_RD
4264,4266,BURWOOD_RD
4264,4270,GLENFERRIE_RD
4264,4324,GLENFERRIE_RD
4270,4324,GLENFERRIE_RD
4270,4272,RIVERSDALE_RD
4272,4273,TOORONGA_RD
4321,4335,HIGH_ST
